Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G,SEXE
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,478,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,87,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,94,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,347,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,397,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,..,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,430,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,380,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,62,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,45,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,250,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,266,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,493,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,502,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,72,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,82,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,332,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,503,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,536,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,514,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,97,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,114,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,464,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,505,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,..,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,504,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,441,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,87,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,108,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,435,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,489,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,575,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,536,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,117,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,109,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,545,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,638,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,406,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,391,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,83,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,66,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,267,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,309,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,635,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,644,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,163,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,191,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,519,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,691,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,..,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,643,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,545,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,218,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,226,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,306,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,275,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,..,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,..,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,595,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,509,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,162,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,198,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,299,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,322,3,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,380,1,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,343,1,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,133,2,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,143,2,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,236,3,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,370,3,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,4,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,573,1,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,487,1,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,184,2,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,196,2,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,230,3,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,291,3,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,..,4,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,317,1,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,307,1,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,164,2,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,170,2,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,155,3,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,186,3,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,677,1,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,963,1,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,228,2,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,325,2,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1088,3,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,5641,3,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,4,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,395,1,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,361,1,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,167,2,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,145,2,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,199,3,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,218,3,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,465,1,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,414,1,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,246,2,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,243,2,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,266,3,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,290,3,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,..,4,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,303,1,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,273,1,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,184,2,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,168,2,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,230,3,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,251,3,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,..,4,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,649,1,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,636,1,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,226,2,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,221,2,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,357,3,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,411,3,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,330,1,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,370,1,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,175,2,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,187,2,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,262,3,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,313,3,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,..,4,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,493,1,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,483,1,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,148,2,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,171,2,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,219,3,1
