P017001L;P017001LG2;P040001LG1;KP107001L;KP109001L;KP060001L;KP069001L;KP069001LG2;KP081001L;KP081001LG2;KP011001L;KP016001L;KP010001LR1;KP010001LR3;KP010001LR4;KL007001LG7R1;KL007001LG10R1;KP110001LG1;KL018001LR1;KL018001LR2;KL018001LR4;KT002001LR2G1;KL065001L;KL001001LR1;KP033001L;KP040001L;KP074001L;KP073001L;KP075001L;KP065001L;KP080001LG1;KP070001L;KP071001L;KP137001L;KH074001L;KH064001L;KH066001LH1;KH068001LM1H1;KH068001LM2H1;KH068001LM3H1;KH068001LM4H1;KH068001LM5H1;KH002001LH1;KH079001LH1;KH003001LR1H1;KH004001L;KH008001L;KH011001L;KH012001L;KH013002L;KH101001L;KH096001L;KH005002L;KH134001L;KH076002L;KH017001L;KH098001LM1;KH098001LM2;KH098001LM3;KH098001LM4;KH098001LM10;KH098001LM5;KH098001LM11;KH098001LM7;KH098001LM8;KH098001LM9;KH132001L;KE026001L;KE038001LM3;KE038001LM4;KE038001LM5;KE038001LM6;KE038001LM7;KE038001LM8;KE038001LM9;KE038001LM10;KE016001L;KS025001L;KD084001LM1;KD084001LM2;KD084001LM3;KD084001LM4;KD084001LM5;KD087001L;KD091001L;KD086001LM1;KD086001LM2;KD086001LM4;KD086001LM3;KD086001LM6;KD086001LM5;KD090001L;KD093001L;KD085001LM1;KD085001LM2;KD085001LM3;KD085001LM4;KD085001LM5;KD085001LM6;KD088001L;KD092001L;KI284001L;KI285001L;KI289001L;KI290001L;KI100001L;KI275001L;KI276001L;KI278001L;KI097001L;KI148002L;KI280001L;KI283001L;KI159001LM3;KI159001LM5;KI159001LM8;KI159001LM2;KI159001LM4;KI138002L;KI138002LG2;KI138002LG2I;KI139001L;KI139001LG2;KI040001L;KI041003L;KI063001L;KI064002L;KI160001L;KI042001L;KI044001L;KI045001L;KI247001L;KI200001L;KI291001L;KI292001LM3;KI292001LM4;KI292001LM5;KI292001LM6;KI292001LM7;KI292001LM8;KI292001LM9;KI292001LM10;KI292001LM11;KI292001LM12;KI293001L;KW009001L;KW009002L;KW011001L
AA1302;1111130200;2002;2012;2;1;AA130201;111113020001;AA130201;111113020001;1;1;2;5;3;1;1;2;3;3;3;3;1;2;0;0;0;2;0;1;-8;22/03/2011;27/03/2012;1;-8;3;2;2;2;1;2;2;130;7;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;5;1;1;1;1;1;1;1;2;2;2;3;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;1;3600;2;-8;-8;-8;-8;-8;-8;29000;29000;0;-8;10;5;600;1;36;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,230223774031604;298,024096385542;,70374413873813
AA1303;1111130300;2002;2012;2;1;AA130301;111113030001;AA130301;111113030001;1;1;2;5;3;1;1;3;3;3;3;3;1;2;0;0;0;2;0;1;-8;06/04/2011;27/04/2012;1;-8;-9;3;2;2;1;2;2;160;8;3;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;1;1;1;1;1;1;1;1;1;2;5;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;5;2;1;2;2;2;2,5;20;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;1;3600;2;-8;-8;-8;-8;-8;-8;32400;32400;0;-8;11;4;1200;1;36;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,230223774031604;298,024096385542;,70374413873813
AA1309;1111130900;2002;2012;2;1;AA130901;111113090001;AA130901;111113090001;1;1;2;5;3;1;-8;3;1;1;3;3;1;1;0;0;0;1;0;1;-8;26/03/2011;02/05/2012;1;-8;-9;2;2;2;2;2;1;118;8;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;2;2;2;2;2;1;2;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;5;2;2;2;1;2;2;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;700;700;0;-8;1;2;700;2;12;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,459582639976628;594,928571428571;,450396248792403
AA1311;1111131100;2002;2012;2;1;AA131101;111113110001;AA131101;111113110001;1;1;2;5;3;1;1;3;3;3;3;3;1;2;0;0;0;2;0;1;-8;26/03/2011;23/04/2012;1;-8;2;2;2;2;1;2;2;110;8;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;1;1;1;1;1;1;1;2;2;2;3;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;2;1;2;2;2;1;9;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;1600;1;1260;2;-8;-8;-8;-8;-8;-8;27160;27160;0;-8;10;2;2200;98;0;1;98;2;2;2;800;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,230223774031604;298,024096385542;,70374413873813
AA1312;1111131200;2002;2012;2;1;AA131201;111113120001;AA131201;111113120001;1;1;2;5;3;1;-8;3;1;1;3;3;1;1;0;0;0;1;0;1;-8;22/03/2011;08/04/2012;1;-8;2;2;2;2;1;2;2;130;5;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;2;2;1;1;1;1;2;2;1;2;3;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;5;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;2000;2;-8;2;-8;-8;-8;-8;-8;-8;10652;10652;0;-8;4;4;800;2;60;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,459582639976628;594,928571428571;,450396248792403
AA1313;1111131300;2002;2012;2;1;AA131301;111113130001;AA131301;111113130001;1;1;2;5;3;1;-8;3;1;1;3;1;1;1;0;0;0;1;0;1;-8;02/05/2011;07/04/2012;1;-8;2;1;2;2;1;2;2;90;7;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;2;2;2;1;1;1;1;2;2;2;3;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;5;2;1;2;2;2;5;165;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;15400;15400;0;-8;6;2;1100;3;6;2;2;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,307861792333966;398,526315789474;,357332153204102
AA1314;1111131400;2002;2012;2;1;AA131401;111113140001;AA131401;111113140001;1;1;2;5;3;4;1;3;5;7;2;3;1;2;0;0;0;1;1;1;-8;13/04/2011;27/03/2012;1;-8;2;2;2;2;1;2;2;80;5;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;2;2;1;2;1;1;2;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;1;2;2;2;2;-8;-8;2;2;2;2;2;1;5;-9;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;1;500;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;14400;14400;0;-8;5;1;1700;3;-9;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,230223774031604;298,024096385542;,450396248792403
AA1318;1111131800;2002;2012;2;1;AA131801;111113180001;AA131801;111113180001;1;1;2;5;3;1;-8;3;1;1;3;3;1;1;0;0;0;1;0;1;-8;22/03/2011;18/04/2012;1;-8;2;2;2;2;1;2;2;60;5;3;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;2;2;2;2;2;2;2;2;2;1;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;5;2;1;2;2;2;1;8,5;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;8652;8652;0;-8;3;2;800;3;0;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,459582639976628;594,928571428571;,450396248792403
AA1320;1111132000;2002;2012;2;1;AA132001;111113200001;AA132001;111113200001;1;1;2;5;3;1;1;3;4;4;1;1;1;3;1;0;0;3;0;1;-8;11/05/2011;18/07/2012;1;-8;3;2;2;2;1;2;2;80;9;5;-8;-8;-8;-8;-8;-8;-8;-8;-8;0;2;1;1;1;1;1;1;1;2;1;2;5;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;-9;2;-8;2;-8;-8;-8;-8;-8;-8;-9;39152,049258089;1;12;12;2;1000;1;24;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,230223774031604;298,024096385542;,377880004931126
AA1323;1111132300;2002;2012;2;1;AA132301;111113230001;AA132301;111113230001;1;1;1;5;3;1;1;2;3;3;3;3;1;2;0;0;0;2;0;1;-8;17/05/2011;27/03/2012;1;-8;2;2;2;2;2;1;2;120;9;3;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;2;2;1;2;2;2;2;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;2;1;2;2;2;2;16;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;1500;1;9240;2;-8;-8;-8;-8;-8;-8;19740;19740;0;-8;7;4;1200;2;36;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,230223774031604;298,024096385542;,70374413873813
AA1326;1111132600;2002;2012;2;1;AA132601;111113260001;AA132601;111113260001;1;1;1;5;3;1;1;2;3;3;3;1;1;2;0;0;0;2;0;1;-8;24/05/2011;17/04/2012;1;-8;3;1;2;2;1;2;2;165;8;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;1;1;1;1;1;1;1;1;1;2;3;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;500;2;-8;2;-8;-8;-8;-8;-8;-8;31100;31100;0;-8;11;4;1500;3;36;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,230223774031604;298,024096385542;,357332153204102
AA1327;1111132700;2002;2012;2;1;AA132701;111113270001;AA132702;111113270002;2;1;1;5;3;1;1;2;3;3;3;5;1;2;0;0;0;2;0;1;-8;16/04/2011;01/05/2012;1;-8;2;2;2;2;1;2;2;110;11;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;1;1;1;1;2;1;1;2;2;2;6;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;5000;2;-8;2;-8;-8;-8;-8;-8;-8;84600;84600;0;-8;16;4;2000;1;96;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,230223774031604;298,024096385542;,357332153204102
AA1328;1111132800;2002;2012;2;1;AA132801;111113280001;AA132801;111113280001;1;1;1;5;3;1;1;2;6;7;2;1;1;3;0;0;0;3;0;1;-8;21/04/2011;15/06/2012;1;-8;2;2;2;2;1;2;2;90;8;3;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;1;1;1;1;1;1;1;2;1;2;4;5;-8;-8;-8;-8;-8;-8;-8;-8;-1;4;2;1;2;2;2;2;16;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;400;2;-8;2;-8;-8;-8;-8;-8;-8;52000;52000;0;-8;14;4;2000;3;36;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,433194531027039;560,769230769231;,377880004931126
AA1329;1111132900;2002;2012;2;1;AA132901;111113290001;AA132901;111113290001;1;1;1;5;3;1;1;2;3;3;3;3;1;2;0;0;0;2;0;1;-8;15/04/2011;27/03/2012;1;-8;2;2;2;2;1;2;2;150;13;3;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;1;1;1;1;1;1;2;1;1;2;4;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;2;1;2;2;2;2;16;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;28860;28860;0;-8;10;4;1000;2;72;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,230223774031604;298,024096385542;,70374413873813
AA1331;1111133100;2002;2012;2;1;AA133101;111113310001;AA133101;111113310001;1;1;1;5;3;1;1;2;4;4;1;1;1;3;0;0;1;2;0;1;-8;26/04/2011;10/04/2012;1;-8;2;1;2;2;1;2;2;120;7;2;-8;-8;2005;2035;700;-8;-8;-8;-8;-8;2;1;1;1;2;1;1;1;2;2;2;5;5;-8;-8;-8;-8;-8;-8;-8;-8;3;4;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;2;2;2;1;2;30900;30900;0;-8;11;2;3500;1;3;1;98;2;1;2;500;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,285898769592056;370,095238095238;,392947747670923
AA1334;1111133400;2002;2012;2;1;AA133401;111113340001;AA133402;111113340002;2;1;2;5;3;1;1;3;4;4;1;1;1;3;0;0;0;3;0;1;-8;19/04/2011;13/04/2012;1;-8;2;3;2;2;2;2;1;73;6;1;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;1;1;1;1;1;1;1;2;1;2;4;5;-8;-8;-8;-8;-8;-8;-8;-8;3;5;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;65000;65000;0;-8;16;5;2000;1;48;3;2;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,230223774031604;298,024096385542;,357332153204102
AA1336;1111133600;2002;2012;2;1;AA133601;111113360001;AA133601;111113360001;1;1;2;5;3;1;1;3;4;6;1;1;1;5;0;0;1;2;2;1;-8;24/03/2011;30/03/2012;1;-8;2;2;2;2;1;2;2;160;11;2;-8;-8;2004;2023;470;-8;-8;-8;-8;-8;2;1;1;1;1;1;1;1;1;1;2;6;5;-8;-8;-8;-8;-8;-8;-8;-8;3;4;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;400;2;-8;2;-8;2;2;2;1;2;49000;49000;0;-8;14;4;2500;3;12;2;98;2;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,433194531027039;560,769230769231;,392947747670923
AA1340;1111134000;2002;2012;2;1;AA134001;111113400001;AA134002;111113400002;2;1;2;5;3;1;-8;3;1;1;3;3;1;1;0;0;0;1;0;5;-8;28/03/2011;04/04/2012;1;-8;2;1;2;2;1;1;2;300;6;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;1;1;1;1;1;1;1;2;1;2;6;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;2;1;2;2;2;3;24;1;2;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;8400;8400;0;-8;3;3;1500;3;0;3;2;2;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,459582639976628;594,928571428571;,450396248792403
AA1342;1111134200;2002;2012;2;1;AA134201;111113420001;AA134201;111113420001;1;1;2;5;3;2;-8;3;1;1;3;2;1;1;0;0;0;1;0;1;-8;25/03/2011;11/04/2012;1;-8;2;3;2;2;2;2;1;-9;7;4;-8;-8;-8;-8;-8;1993;999;178;-8;-8;2;2;2;1;2;2;2;2;2;2;2;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;710;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;6200;6200;0;-8;3;1;700;3;0;3;2;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,279985094064571;362,44;,499189175744914
AA1343;1111134300;2002;2012;2;1;AA134301;111113430001;AA134301;111113430001;1;2;2;5;3;1;1;3;4;4;1;1;1;3;0;0;1;2;0;1;-8;28/03/2011;04/04/2012;1;-8;2;3;2;2;1;2;2;90;7;2;1;-8;1998;2013;350;-8;-8;-8;-8;-8;2;1;1;1;1;2;1;1;2;2;2;4;5;-8;-8;-8;-8;-8;-8;-8;-8;3;4;2;1;2;2;2;3;30;-8;-8;-8;-8;-8;-8;-8;-8;-9;-9;-9;-9;-9;-9;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;2;2;2;1;2;39000;39000;0;-8;12;4;2500;3;12;2;2;2;2;2;1100;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,173929224328218;225,150943396226;,392947747670923
AA1344;1111134400;2002;2012;2;1;AA134401;111113440001;AA134401;111113440001;1;1;2;5;3;4;3;3;4;4;1;4;1;4;0;0;2;2;0;1;-8;13/04/2011;10/04/2012;1;-8;2;2;2;2;1;2;2;160;12;2;-8;-8;1996;2014;440;-8;-8;-8;-8;-8;1;1;1;1;1;1;1;1;1;1;2;4;5;-8;-8;-8;-8;-8;-8;-8;-8;1;5;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;2;1;2;2;2;,3;0;2;-8;-8;-8;2;-8;2;-8;1;2100;2;-8;2;2;2;1;2;20000;20000;0;-8;7;2;1500;3;6;2;2;2;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,173929224328218;225,150943396226;,392947747670923
AA1345;1111134500;2002;2012;2;1;AA134501;111113450001;AA134502;111113450002;2;1;2;5;3;1;1;3;4;4;1;1;1;4;0;0;2;2;0;1;-8;28/04/2011;16/04/2012;1;-8;3;1;2;2;1;1;2;250;14;2;-8;-8;2000;2020;822;-8;-8;-8;-8;-8;2;1;1;1;1;1;1;1;2;1;2;6;4;2;2;1;2;2;2;2;2;3;4;2;1;2;2;2;3;30;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;360;2;-8;2;-8;2;2;2;1;2;66000;66000;0;-8;16;4;5000;1;6;2;2;2;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,173929224328218;225,150943396226;,392947747670923
AA1346;1111134600;2002;2012;2;1;AA134601;111113460001;AA134601;111113460001;1;1;2;5;3;1;1;3;4;4;1;1;1;4;0;0;2;2;0;1;-8;18/05/2011;17/05/2012;1;-8;2;2;2;2;1;2;2;110;8;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;1;1;1;1;1;1;1;2;1;2;4;5;-8;-8;-8;-8;-8;-8;-8;-8;3;4;1;2;2;2;2;-8;-8;2;2;1;2;2;2;3;0;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;1;4800;2;-8;1;1500;1;5000;2;-8;2;2;2;1;2;52000;52000;0;-8;14;3;3000;3;36;3;2;2;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,173929224328218;225,150943396226;,392947747670923
AA1347;1111134700;2002;2012;2;1;AA134701;111113470001;AA134701;111113470001;1;1;1;5;3;5;88;2;3;3;3;1;1;2;0;0;0;2;0;1;-8;30/03/2011;11/04/2012;1;-8;2;3;2;2;2;2;1;72;6;2;-8;-8;2007;2046;465;-8;-8;-8;-8;-8;1;1;2;1;1;1;1;1;2;1;2;6;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;11300;11300;0;-8;4;1;1500;3;0;1;98;1;1;1;150;1;2;2;2;1;2;2;2;2;2;2;2;,230223774031604;298,024096385542;,377880004931126
AA1351;1111135100;2002;2012;2;1;AA135101;111113510001;AA135101;111113510001;1;1;1;7;3;1;1;1;4;4;1;5;2;3;1;0;0;1;2;1;-8;12/04/2011;10/05/2012;1;-8;2;1;1;2;2;2;2;100;11;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;3;1;1;1;1;2;1;1;2;1;2;4;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;3;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;2;-8;2;-8;1;1200;2;-8;2;-8;-8;-8;-8;-8;-8;30000;30000;0;-8;10;3;2000;3;36;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,285627121052122;369,74358974359;,357332153204102
AA1353;1111135300;2002;2012;2;1;AA135301;111113530001;AA135301;111113530001;1;1;1;7;3;1;1;1;5;7;2;3;1;2;0;0;0;1;0;1;-8;22/06/2011;16/05/2012;1;-8;2;3;2;2;1;1;2;-9;8;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;2;2;2;1;1;1;2;1;1;2;4;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;2;1;2;2;2;6;66;2;1;2;2;2;2;10;60;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;2;-8;2;-8;1;-9;2;-8;2;-8;-8;-8;-8;-8;-8;-9;13263,1051157261;2;-1;5;1;2000;3;-9;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,252844575252808;327,306666666667;,357332153204102
AA1354;1111135400;2002;2012;2;1;AA135401;111113540001;AA135401;111113540001;1;1;1;7;3;1;1;1;5;7;2;2;2;2;1;0;1;1;0;1;-8;06/07/2011;12/04/2012;1;-8;3;3;2;2;2;2;1;90;6;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;1;1;1;2;2;1;1;2;1;2;3;5;-8;-8;-8;-8;-8;-8;-8;-8;2;2;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;2;2;2;2;2;-8;-8;2;-8;-8;-8;1;-9;1;-9;1;3600;2;-8;2;2;2;1;2;12000;12000;0;-8;4;1;800;3;0;1;98;98;2;1;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,279985094064571;362,44;,392947747670923
AA1355;1111135500;2002;2012;2;1;AA135501;111113550001;AA135501;111113550001;1;1;1;7;3;1;1;1;4;4;1;1;1;4;0;1;2;1;0;1;-8;22/06/2011;02/10/2012;1;-8;2;3;2;1;2;2;2;200;5;4;-8;-8;-8;-8;-8;2007;24;324;-8;-8;2;1;1;2;2;1;1;1;1;1;2;3;5;-8;-8;-8;-8;-8;-8;-8;-8;2;2;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;2;1;2;2;2;10;0;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;2;2;2;1;2;-9;6978,78057092238;1;3;3;1;1000;3;0;3;2;98;2;2;0;3;2;2;2;2;1;1;1;2;2;2;1;,173929224328218;225,150943396226;,392947747670923
AA1357;1111135700;2002;2012;2;1;AA135701;111113570001;AA135701;111113570001;1;1;1;7;3;1;1;2;4;4;1;1;1;4;0;0;1;1;2;1;-8;19/05/2011;16/05/2012;1;-8;-9;3;2;2;2;2;1;150;8;2;-8;-8;2005;2030;1800;-8;-8;-8;-8;-8;2;1;1;1;1;1;1;1;2;1;2;5;5;-8;-8;-8;-8;-8;-8;-8;-8;2;3;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;2;2;2;2;2;-8;-8;2;-8;-8;-8;2;-8;2;-8;1;6000;2;-8;2;2;2;1;2;30000;30000;0;-8;10;2;3000;3;1;1;98;1;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,285627121052122;369,74358974359;,392947747670923
AA1362;1111136200;2002;2012;2;1;AA136201;111113620001;AA136201;111113620001;1;1;5;5;3;4;3;4;4;4;1;4;1;4;0;0;1;3;0;1;-8;15/04/2011;28/03/2012;1;-8;2;3;2;2;2;2;1;80;8;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;1;1;2;1;1;1;1;2;1;2;3;5;-8;-8;-8;-8;-8;-8;-8;-8;3;4;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;2;2;2;2;2;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;2;2;2;1;2;36000;36000;0;-8;11;2;1800;2;18;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,285627121052122;369,74358974359;,392947747670923
AA1367;1111136700;2002;2012;2;1;AA136701;111113670001;AA136701;111113670001;1;1;5;5;3;1;1;4;3;3;3;3;1;2;0;0;0;2;0;1;-8;28/03/2011;03/04/2012;1;-8;-9;3;2;2;2;2;1;120;8;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;1;1;1;1;1;1;1;1;1;2;6;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;2;1;2;2;2;6;54;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;200;1;3000;2;-8;-8;-8;-8;-8;-8;60400;60400;0;-8;16;4;2000;1;36;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,252844575252808;327,306666666667;,450396248792403
AA1370;1111137000;2002;2012;2;1;AA137001;111113700001;AA137002;111113700002;2;1;5;5;3;1;1;4;4;4;1;1;1;5;0;0;1;3;1;1;-8;04/05/2011;26/07/2012;1;-8;2;2;2;2;1;2;2;200;10;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;5;1;1;1;1;1;1;1;2;1;2;6;4;2;2;2;2;2;2;2;1;2;5;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;2;2;2;1;2;54600;54600;0;-8;15;4;3000;3;24;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;,433194531027039;560,769230769231;,392947747670923
