P017001L;P017001LG2;P040001LG1;KP107001L;KP109001L;KP060001L;KP069001L;KP069001LG2;KP081001L;KP081001LG2;KP011001L;KP016001L;KP010001LR1;KP010001LR3;KP010001LR4;KL007001LG7R1;KL007001LG10R1;KP110001LG1;KL018001LR1;KL018001LR2;KL018001LR4;KT002001LR2G1;KL065001L;KL001001LR1;KP033001L;KP040001L;KP074001L;KP073001L;KP075001L;KP065001L;KP080001LG1;KP070001L;KP071001L;KP137001L;KH074001L;KH064001L;KH066001LH1;KH068001LM1H1;KH068001LM2H1;KH068001LM3H1;KH068001LM4H1;KH068001LM5H1;KH002001LH1;KH079001LH1;KH003001LR1H1;KH004001L;KH008001L;KH011001L;KH012001L;KH013002L;KH101001L;KH096001L;KH005002L;KH134001L;KH076002L;KH017001L;KH098001LM1;KH098001LM2;KH098001LM3;KH098001LM4;KH098001LM10;KH098001LM5;KH098001LM11;KH098001LM7;KH098001LM8;KH098001LM9;KH132001L;KE026001L;KE038001LM3;KE038001LM4;KE038001LM5;KE038001LM6;KE038001LM7;KE038001LM8;KE038001LM9;KE038001LM10;KE016001L;KS025001L;KD084001LM1;KD084001LM2;KD084001LM3;KD084001LM4;KD084001LM5;KD087001L;KD091001L;KD086001LM1;KD086001LM2;KD086001LM4;KD086001LM3;KD086001LM6;KD086001LM5;KD090001L;KD093001L;KD085001LM1;KD085001LM2;KD085001LM3;KD085001LM4;KD085001LM5;KD085001LM6;KD088001L;KD092001L;KI284001L;KI285001L;KI289001L;KI290001L;KI100001L;KI275001L;KI276001L;KI278001L;KI097001L;KI148002L;KI280001L;KI283001L;KI159001LM3;KI159001LM5;KI159001LM8;KI159001LM2;KI159001LM4;KI138002L;KI138002LG2;KI138002LG2I;KI139001L;KI139001LG2;KI040001L;KI041003L;KI063001L;KI064002L;KI160001L;KI042001L;KI044001L;KI045001L;KI247001L;KI200001L;KI291001L;KI292001LM3;KI292001LM4;KI292001LM5;KI292001LM6;KI292001LM7;KI292001LM8;KI292001LM9;KI292001LM10;KI292001LM11;KI292001LM12;KI293001L;KW009001L;KW009002L;KW011001L
AA0029;1111002900;2002;2012;2;1;AA002901;111100290001;AA002901;111100290001;1;1;5;1;1;1;1;4;5;7;2;3;1;2;0;0;0;1;1;1;-8;13/04/2011;27/03/2012;1;-8;2;3;2;2;2;2;1;60;7;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;3;2;2;2;2;2;2;2;2;2;1;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;5;2;2;2;1;2;5;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;12621;12621;0;-8;5;2;1200;98;0;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1,87008747267431;2420,82352941176;2,51957359358341
AA0032;1111003200;2002;2012;2;1;AA003201;111100320001;AA003202;111100320002;2;1;5;1;1;4;3;4;4;4;1;6;1;3;0;0;1;2;0;1;-8;01/04/2011;03/04/2012;1;-8;2;3;2;2;2;2;1;59;7;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;1;1;2;2;2;2;1;2;2;2;1;5;-8;-8;-8;-8;-8;-8;-8;-8;1;5;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;2;2;2;2;2;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;2;2;2;1;2;22196;22196;0;-8;8;2;3000;2;6;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1,02974321374041;1333;1,05021855888775
AA0033;1111003300;2002;2012;2;1;AA003301;111100330001;AA003301;111100330001;1;1;5;1;1;2;2;4;3;3;3;3;1;2;0;0;0;1;1;1;-8;14/10/2011;14/05/2012;1;-8;2;3;2;2;2;2;1;54;7;1;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;3;2;2;1;1;2;2;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;5;1;2;2;2;2;-8;-8;1;2;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;-9;2;-8;2;-8;-8;-8;-8;-8;-8;19000;19000;0;-8;7;4;1500;2;12;3;98;2;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1,87008747267431;2420,82352941176;2,51957359358341
AA0035;1111003500;2002;2012;2;1;AA003501;111100350001;AA003501;111100350001;1;1;5;1;1;1;1;4;4;4;1;4;1;3;0;0;1;2;0;1;-8;18/04/2011;02/04/2012;1;-8;2;3;2;2;2;2;1;60;6;2;-8;-8;2001;2030;458,28;-8;-8;-8;-8;-8;1;1;1;1;1;1;1;1;2;2;2;3;5;-8;-8;-8;-8;-8;-8;-8;-8;1;-9;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;2;2;2;1;2;28970;28970;0;-8;10;2;2500;2;0;1;98;2;2;2;0;2;2;2;2;2;2;2;2;2;1;1;8;1,02974321374041;1333;1,04192588497109
AA0037;1111003700;2002;2012;2;1;AA003701;111100370001;AA003702;111100370002;2;1;6;1;1;1;-8;4;1;1;3;-8;1;1;0;0;0;1;0;5;-8;25/05/2011;24/04/2012;1;-8;2;3;2;2;2;2;1;150;10;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;1;2;1;1;1;1;2;2;2;2;6;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;1;3000;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;5508;5508;0;-8;2;1;2000;98;0;1;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1,55740936072882;2016,0625;1,27828085360394
AA0039;1111003900;2002;2012;2;1;AA003901;111100390001;AA003901;111100390001;1;1;6;1;1;4;3;4;3;3;3;3;1;2;0;0;0;2;0;1;-8;24/05/2011;11/06/2012;1;-8;2;3;1;2;2;2;2;94;6;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;3;1;1;1;1;1;1;1;2;2;2;6;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;3;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;-9;2;-8;1;4800;-8;-8;-8;-8;-8;26000;26000;0;-8;9;4;1000;1;72;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2,17294538910074;2812,87234042553;2,51957359358341
AA0042;1111004200;2002;2012;2;1;AA004201;111100420001;AA004201;111100420001;1;1;6;1;1;1;-8;4;1;1;3;1;1;1;0;0;0;1;0;1;-8;03/06/2011;08/06/2012;1;-8;2;3;1;2;2;2;2;55;5;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;5;1;1;1;2;1;1;1;1;1;2;5;2;2;2;2;2;2;2;2;1;4;5;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;33000;33000;0;-8;11;2;2500;3;8;2;98;98;2;2;0;2;2;2;2;2;2;2;2;2;1;1;1;1,88011180315184;2433,8;1,02083500740418
AA0043;1111004300;2002;2012;2;1;AA004301;111100430001;AA004302;111100430002;2;1;6;1;1;4;3;4;3;3;3;3;1;2;0;0;0;2;0;1;-8;05/05/2011;24/04/2012;1;-8;2;3;1;2;1;2;2;40;3;4;1;-8;-8;-8;-8;2007;999;282;-8;-8;2;1;2;2;1;2;1;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;3;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;18100;18100;0;-8;7;3;3000;2;6;2;2;2;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2,30449147353747;2983,15841584158;2,51957359358341
AA0044;1111004400;2002;2012;2;1;AA004401;111100440001;AA004401;111100440001;1;1;6;1;1;1;-8;4;1;1;3;3;1;1;0;0;0;1;0;1;-8;04/04/2011;04/04/2012;1;-8;2;3;2;2;2;2;1;52;7;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;3;2;2;1;2;2;1;1;2;2;2;3;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;2;1;2;2;2;1;10;1;2;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;2;-8;2;-8;1;-9;2;-8;2;-8;-8;-8;-8;-8;-8;12600;12600;0;-8;5;4;900;2;-9;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1,45886726117686;1888,5;1,30968588691317
AA0046;1111004600;2002;2012;2;1;AA004601;111100460001;AA004601;111100460001;1;1;6;1;1;1;-8;4;1;1;3;3;1;1;0;0;0;1;0;1;-8;23/05/2011;16/04/2012;1;-8;2;3;1;2;2;2;2;60;9;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;2;2;1;1;1;2;2;2;2;2;3;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;2;1;2;2;2;2;12;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;12000;12000;0;-8;4;3;1000;2;12;2;2;2;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1,45886726117686;1888,5;1,30968588691317
