DA,G,N,E,KT002001EH1R3,S,Ch,KR185001E,KR167001E,KR173001E,KR170001E,KR176001E,KR107001E,KR168001E,KR174001E,KR171001E,KR075001E,KR110001E,KR169001E,KR175001E,KR178001E,KR078001E,KR113001E,household_id,HR,Tip
88,2,3,7,3,2,0,7,2,73,1,1,6,2,73,1,7,7,2,73,1,7,6,1111013900,1,1
53,2,1,15,1,3,2,3,2,44,1,1,7,2,38,1,1,5,1,44,1,1,7,1111014000,2,5
32,2,1,8,1,2,2,7,1,31,1,1,7,2,30,1,1,7,2,41,1,1,6,1411014000,4,4
72,2,3,14,3,1,4,15,2,64,1,3,7,2,72,1,7,7,2,77,3,1,7,1111014600,2,3
35,2,1,16,1,1,1,5,2,30,1,1,6,2,35,1,1,7,2,35,1,15,7,1511014900,3,4
40,1,2,8,1,1,1,6,1,39,1,2,6,1,38,1,15,7,1,39,2,1,5,1511014900,3,4
42,2,1,4,2,1,0,7,2,44,1,1,4,1,42,1,11,4,2,39,1,15,6,1111015200,2,3
43,2,1,14,1,1,2,6,2,32,1,3,7,2,44,1,2,7,2,42,1,2,7,1211015400,4,4
38,1,1,8,1,1,2,5,1,39,1,1,5,2,35,1,1,7,2,35,1,1,7,1211015400,4,4
63,2,1,15,3,1,2,6,2,55,1,1,7,1,56,1,1,7,1,57,1,1,7,1111015700,2,3
47,1,1,15,1,2,0,7,1,42,3,1,6,2,26,1,1,7,1,38,1,2,5,1111016200,1,1
61,2,1,4,1,2,0,5,2,57,1,1,4,1,45,1,1,7,2,59,2,6,2,1111016300,1,1
51,2,1,8,1,1,2,4,2,50,1,1,7,2,54,1,1,5,2,50,1,1,7,1111016600,4,4
27,2,1,11,2,2,0,4,2,27,1,1,7,2,27,1,1,7,2,26,1,1,6,1111016600,4,4
21,2,1,13,3,2,0,5,2,20,1,1,5,1,24,1,1,7,2,21,1,8,5,1111016700,4,4
17,1,1,9,3,2,0,3,1,15,1,1,4,1,17,1,8,4,2,15,1,8,4,1111016900,3,4
55,2,1,15,1,1,1,9,1,54,5,2,7,2,48,5,1,6,2,56,2,1,7,1111017200,2,3
