DA,G,N,E,KT002001EH1R3,S,Ch,KR185001E,KR167001E,KR173001E,KR170001E,KR176001E,KR107001E,KR168001E,KR174001E,KR171001E,KR075001E,KR110001E,KR169001E,KR175001E,KR178001E,KR078001E,KR113001E,household_id,HR,Tip
50,2,1,15,1,1,1,4,1,46,1,3,7,2,53,1,2,4,2,48,1,1,7,1111054600,3,4
19,1,1,9,3,2,0,3,2,18,1,1,5,1,19,1,8,4,1,17,1,8,4,1111054600,3,4
49,1,1,6,1,1,2,10,1,45,1,1,5,2,45,1,6,5,1,38,1,1,5,1111054800,4,4
16,2,1,9,3,2,0,7,2,17,1,1,4,2,16,1,8,4,1,16,1,8,4,1111054800,4,4
45,2,1,6,1,4,2,3,1,43,1,2,6,2,44,1,1,6,1,50,1,1,5,1111055000,3,5
45,2,1,6,2,1,3,3,2,47,1,1,7,2,42,1,1,7,2,46,1,1,7,1111055200,5,4
19,1,1,13,3,2,0,3,1,16,1,2,4,2,17,1,8,4,1,18,2,2,5,1111055200,5,4
19,1,1,13,3,2,0,4,1,18,1,1,5,1,17,1,8,4,2,18,1,8,5,1111055200,5,4
48,1,2,15,1,4,2,3,1,47,1,1,6,2,44,1,15,7,1,33,1,1,4,1111055300,3,6
17,1,1,9,3,2,0,4,1,16,1,1,4,1,16,1,8,4,2,16,1,8,4,1111055300,3,6
40,1,1,4,1,1,2,5,1,39,1,1,7,1,39,1,1,6,1,40,1,1,6,1111055900,4,4
44,2,2,16,1,1,2,4,2,41,1,1,5,2,39,1,1,5,1,39,1,1,3,1111055900,4,4
63,1,1,4,2,1,1,5,1,56,1,2,3,1,63,1,7,6,1,47,1,1,3,1111056000,2,3
61,2,2,7,3,1,2,3,2,72,1,1,2,1,74,1,7,6,2,46,1,15,2,1111056200,3,4
38,2,1,16,1,1,1,15,2,35,1,1,7,2,42,1,1,7,2,35,1,1,7,1111056300,3,4
46,1,3,7,1,1,3,3,1,54,1,3,5,1,49,1,15,5,1,45,3,1,4,1111056300,3,4
38,1,1,5,1,4,1,3,1,42,1,1,7,1,55,1,1,7,1,32,1,1,7,1311056300,3,4
36,2,1,14,1,2,1,3,2,36,1,2,7,2,44,1,1,5,2,35,1,1,7,1311056300,3,4
40,1,1,15,1,1,2,6,1,48,1,2,5,1,35,1,1,7,1,42,3,1,5,1111056500,4,4
41,2,1,8,1,1,2,4,2,40,1,1,7,2,42,1,1,5,1,43,1,1,4,1111056500,4,4
57,2,1,15,2,1,1,3,1,57,1,2,7,2,50,1,1,5,1,56,1,1,5,1111056800,2,3
32,2,2,15,1,1,1,5,2,30,1,1,7,1,32,1,1,6,2,31,1,1,6,1211056800,3,4
44,1,1,8,2,2,0,5,1,41,1,1,4,1,43,1,1,7,1,43,1,1,5,1111056900,1,1
35,1,1,15,1,2,0,4,1,34,1,1,7,2,33,1,1,7,1,43,1,15,6,1611056900,1,1
85,1,2,15,3,1,0,4,1,82,1,2,7,1,85,1,7,7,1,84,2,7,7,1111057100,1,1
37,2,1,15,1,1,2,10,2,38,1,1,7,1,37,5,1,7,2,30,1,1,5,1311057400,4,4
37,1,1,14,1,1,2,5,1,37,1,1,7,1,37,1,1,7,1,38,1,1,4,1311057400,4,4
44,2,1,8,1,4,2,5,2,35,1,1,4,2,32,5,1,7,2,35,1,1,5,1811057600,3,5
19,1,1,9,3,2,0,6,1,19,1,1,2,2,17,1,8,5,1,21,1,8,5,1811057600,3,5
55,2,1,15,1,1,2,4,2,49,1,2,7,2,55,5,1,7,1,55,2,1,7,1111057800,3,4
24,2,1,14,1,2,0,5,2,24,1,2,7,2,24,1,1,7,2,24,1,1,7,1111057800,3,4
28,2,1,16,1,2,1,20,2,31,1,1,7,2,36,1,1,7,2,36,1,1,7,1411057800,3,4
37,1,1,8,1,2,1,3,1,37,1,1,5,1,38,1,1,5,1,44,2,1,5,1411057800,3,4
72,2,1,4,3,1,3,10,2,72,1,1,4,1,77,1,7,7,2,81,1,7,5,1111058000,2,3
41,2,1,5,1,1,2,8,2,35,1,1,7,2,43,1,1,7,2,36,1,1,6,1111058900,4,4
24,1,1,9,1,2,0,3,1,25,1,1,6,1,24,1,15,4,2,23,1,2,5,2111060900,2,3
39,1,1,5,1,1,2,4,1,40,1,2,5,2,36,1,1,6,1,36,1,1,4,1111062300,4,4
37,2,1,4,1,1,2,6,1,42,1,1,3,2,42,1,11,6,2,40,1,1,3,1111062300,4,4
21,1,1,13,3,2,0,4,1,21,1,1,5,1,21,1,8,4,1,21,1,11,3,1111062800,5,4
19,1,1,13,3,2,0,7,1,19,1,1,5,1,20,1,8,5,1,20,1,8,5,1111062800,5,4
39,1,2,15,1,1,0,3,1,39,1,1,7,2,37,1,1,7,2,40,1,1,5,1211064500,2,3
21,1,1,11,1,2,0,3,1,23,1,1,4,1,25,1,15,4,1,21,3,1,4,1111065400,5,4
21,1,1,11,1,2,0,6,1,20,1,1,3,2,27,1,1,7,1,20,1,8,5,1111065400,5,4
34,1,1,6,1,2,0,3,1,33,1,1,6,1,20,1,2,4,2,25,1,1,4,1413065500,1,1
40,2,1,15,1,1,0,10,1,40,1,1,7,2,39,1,2,5,1,41,1,1,7,1111065600,2,3
41,1,1,15,1,1,0,4,1,40,1,1,7,1,20,1,1,7,1,40,1,1,7,1111065600,2,3
64,2,2,4,3,5,4,6,2,66,1,1,3,1,68,1,7,3,2,61,1,6,4,1111065700,3,4
42,1,1,6,1,1,2,5,1,44,1,1,7,1,42,1,1,7,1,36,1,1,7,1111066100,4,4
43,2,1,16,1,1,2,7,2,42,1,1,7,2,43,1,2,7,2,47,1,1,6,1111066100,4,4
57,2,1,15,1,2,0,10,2,57,1,1,7,1,59,1,1,7,1,53,1,15,4,1111066300,3,4
84,2,1,4,3,1,2,8,2,72,1,1,4,2,66,1,7,6,2,87,1,7,3,1111066300,3,4
42,2,1,6,1,1,2,4,2,34,1,1,7,2,41,1,1,6,2,40,1,1,7,1311066700,4,4
43,1,1,6,1,1,2,8,1,43,1,1,7,1,36,1,1,6,1,42,1,1,4,1311066700,4,4
36,1,1,5,2,3,2,4,1,35,1,1,4,1,36,1,15,5,1,37,1,1,5,1111066800,2,5
43,2,1,16,1,2,2,6,2,46,1,1,4,1,42,1,1,7,2,38,1,2,6,1111066900,4,4
49,1,1,16,1,2,2,4,2,44,1,1,7,2,35,1,1,7,1,52,1,1,7,1111066900,4,4
46,2,1,4,1,1,2,12,2,44,1,2,4,2,49,1,2,4,2,45,1,1,5,1111067200,4,4
47,1,2,6,1,1,2,12,2,42,1,1,4,1,46,1,1,5,1,38,1,1,4,1111067200,4,4
42,1,1,6,1,1,2,7,1,50,1,1,4,1,24,1,1,4,1,35,1,1,4,1111067500,4,4
41,1,1,5,1,3,1,3,1,40,1,1,6,2,48,1,1,3,1,55,2,1,4,1211067800,1,1
69,2,2,2,3,1,2,8,2,60,1,1,2,2,65,1,7,2,2,60,2,11,2,1111068400,4,4
38,1,1,16,2,2,0,5,2,36,1,1,7,1,39,1,1,7,2,36,1,1,7,1411069500,1,1
51,2,1,7,1,5,2,3,2,56,1,2,7,1,62,1,1,4,2,51,2,1,5,1111069700,4,5
58,2,1,6,1,1,2,5,2,59,1,1,2,1,60,1,7,7,2,60,1,1,7,1111070100,3,4
57,1,1,15,1,1,2,10,1,60,1,1,5,1,52,1,1,7,2,46,1,15,7,1111070100,3,4
24,1,1,14,2,2,0,3,1,24,1,1,6,1,24,1,2,7,1,24,1,15,4,1111070100,3,4
22,2,1,13,3,2,0,5,1,25,1,1,4,2,21,1,2,5,2,21,1,15,5,2111070100,4,2
58,2,2,4,1,4,2,4,2,60,1,1,6,2,37,1,1,7,2,40,2,2,6,1111070600,2,5
36,1,1,4,1,2,1,5,1,29,1,1,4,1,28,1,1,5,1,36,1,1,4,1411070600,3,4
37,2,1,14,1,2,1,3,2,35,1,1,7,2,35,1,1,7,1,33,1,1,7,1411070600,3,4
52,2,1,16,1,2,2,6,2,45,1,1,7,1,55,1,1,7,2,50,1,1,7,1111071300,2,3
27,2,1,14,1,2,0,3,2,27,1,1,7,2,26,1,8,5,2,26,1,2,6,1911071310,1,1
39,1,1,5,1,2,2,3,1,38,1,1,4,2,42,1,1,5,1,40,1,1,7,1111071800,4,4
45,2,1,5,2,4,2,5,2,40,1,1,4,1,47,1,1,4,2,43,1,1,4,1111072000,4,4
43,1,1,14,1,2,2,3,2,35,1,1,5,1,47,1,1,7,1,43,1,1,7,1111072000,4,4
79,1,1,6,3,1,2,5,1,82,1,1,4,1,77,1,7,2,1,80,1,7,4,1111072100,2,3
80,2,1,4,3,1,2,10,2,75,1,1,6,2,78,1,7,6,2,75,1,7,6,1111072100,2,3
28,1,1,16,1,1,0,5,1,32,1,1,5,1,38,1,1,7,1,28,1,1,7,1811072300,2,3
26,2,1,16,2,1,0,4,2,36,1,1,5,2,31,1,15,5,2,32,1,1,4,1811072300,2,3
25,2,1,14,1,2,0,5,1,32,1,1,7,2,25,1,1,7,2,26,2,8,4,2011072300,1,1
43,2,1,5,1,2,1,4,2,45,5,1,6,2,43,5,1,6,2,42,1,1,3,1111072400,3,4
22,1,1,11,2,2,0,6,2,21,1,1,5,1,24,1,15,6,2,22,1,1,7,1111073700,4,4
25,2,1,11,1,2,0,3,2,30,1,1,6,1,32,1,1,6,2,27,1,1,5,2011073900,2,3
59,2,1,5,1,1,2,10,2,63,5,2,3,1,40,5,1,6,2,56,1,1,6,1111074000,2,3
28,2,1,12,1,2,0,3,1,23,1,1,6,1,31,1,15,6,2,20,1,15,6,1211074000,3,2
65,2,2,4,3,5,2,10,2,68,1,1,5,2,62,1,6,4,2,62,1,7,4,1111074100,1,1
36,2,1,16,1,2,2,3,2,43,1,1,7,2,34,1,1,6,2,35,1,1,7,1511074400,4,4
21,1,1,13,3,2,0,3,1,20,1,1,4,1,20,1,8,5,1,20,1,8,6,1111074500,5,5
75,1,1,3,3,1,3,20,1,64,1,2,4,1,67,1,7,4,1,60,1,7,4,1111074600,3,3
47,2,3,16,1,2,1,5,2,48,1,1,6,2,48,1,2,3,2,44,1,15,6,1111074900,3,4
36,2,1,15,1,2,0,4,2,36,1,1,7,2,37,1,1,7,2,36,1,1,7,1511075000,1,1
34,2,1,14,1,2,1,12,2,28,1,1,6,2,35,1,1,7,2,32,1,1,7,1311075000,3,4
35,1,1,5,1,2,1,20,1,30,1,1,6,1,34,1,15,4,1,32,2,2,5,1311075000,3,4
50,2,1,5,1,1,2,3,2,48,1,1,5,2,51,1,1,4,2,50,1,2,5,1111075300,4,4
18,1,1,9,3,2,0,15,1,18,1,1,5,1,18,1,2,5,2,17,1,8,5,1111075300,4,4
59,2,1,16,1,5,2,4,1,62,1,1,7,2,59,1,6,6,2,57,1,1,7,1111075400,1,1
47,1,1,15,1,4,1,4,1,46,1,1,7,1,46,1,1,7,1,46,1,1,7,1711075500,2,6
54,2,1,15,1,1,0,3,2,66,1,1,5,2,62,1,7,7,1,65,1,7,4,1111075800,2,3
53,1,1,8,1,1,0,3,1,65,1,1,4,1,50,1,1,7,1,52,1,1,4,1111075800,2,3
44,1,1,6,1,1,2,3,1,45,1,2,4,1,44,5,1,6,2,44,1,1,6,1111076000,4,4
59,2,2,4,3,1,3,6,2,69,1,1,6,1,76,1,7,6,2,59,2,1,7,1111076700,2,3
35,1,1,7,1,2,0,3,1,40,1,1,5,1,45,1,1,7,2,30,1,1,7,1611076700,2,3
69,1,1,4,3,1,2,5,1,69,1,1,5,1,66,1,1,4,1,67,1,7,5,1111076800,2,3
77,1,1,14,3,1,2,10,1,78,1,1,7,1,77,1,7,7,2,62,1,7,7,1111076900,2,3
74,2,1,14,3,1,2,6,2,80,1,1,4,2,62,1,6,6,1,87,1,7,7,1111076900,2,3
47,2,1,15,1,2,0,4,2,73,2,1,7,2,46,3,2,7,2,46,1,1,7,1211076900,1,1
61,1,1,4,2,1,4,20,1,38,1,1,4,1,64,1,7,4,1,74,1,7,6,1111077600,2,3
33,1,1,15,1,1,0,15,2,34,1,1,7,2,35,1,1,7,1,40,1,1,6,1211077700,2,3
28,2,1,14,2,1,0,20,2,27,1,1,7,2,30,1,15,6,2,29,1,1,7,1211077700,2,3
73,2,2,2,3,1,5,10,2,70,1,2,4,2,69,1,7,3,2,75,2,7,3,1111078800,2,3
32,2,1,5,1,2,0,3,2,34,1,3,5,2,32,1,1,4,2,36,1,1,4,1111079000,2,3
49,1,1,15,1,1,1,15,1,50,1,2,7,1,42,1,1,3,1,40,1,1,7,1111081200,4,4
78,2,1,4,3,5,3,5,2,70,1,1,2,2,74,1,7,2,2,75,1,11,2,1111081200,4,4
39,2,3,15,1,1,1,5,2,38,1,3,7,2,40,1,6,5,1,50,1,1,7,1111081200,4,4
65,1,1,14,1,1,3,3,1,65,1,1,6,2,42,1,1,7,1,65,1,1,6,1111081300,4,4
34,1,1,15,1,2,0,12,2,33,5,1,7,1,34,1,1,6,1,41,1,11,6,1111081300,4,4
30,2,1,14,2,2,0,4,2,29,1,1,7,2,29,1,1,7,2,29,1,1,6,1111081300,4,4
76,1,1,4,3,2,0,4,1,71,1,1,2,2,54,1,1,7,1,73,1,7,2,1111081400,1,1
47,1,1,16,1,1,2,6,1,43,1,1,5,1,46,1,1,7,1,47,1,1,7,1111081600,4,4
52,2,1,5,1,1,2,15,2,51,1,1,7,1,53,1,1,6,2,36,1,1,7,1111081700,3,4
17,1,1,9,3,2,0,12,1,17,1,1,4,2,16,1,8,4,1,17,1,8,4,1111081700,3,4
69,2,1,4,3,5,3,15,2,70,1,1,2,2,50,1,1,7,1,72,1,7,2,1111081900,2,5
62,1,1,14,1,5,2,9,2,47,1,1,7,1,55,1,1,7,1,52,3,1,2,1111082300,2,5
40,1,1,15,1,2,0,3,1,38,1,1,7,1,39,1,1,7,2,36,1,1,7,1111082500,2,3
50,2,1,8,1,1,2,4,2,50,1,1,7,1,54,1,1,7,2,60,1,1,6,1111082900,4,4
20,2,1,13,3,2,0,4,2,20,1,1,5,2,19,1,8,5,2,21,1,8,5,1111082900,4,4
50,1,1,15,1,4,2,3,2,40,1,1,7,1,46,1,1,5,1,52,1,1,5,1111083200,4,4
61,1,1,15,1,1,2,3,1,62,1,1,4,1,57,1,1,7,1,61,1,1,7,1111083500,3,4
27,1,1,14,1,2,0,3,1,29,1,2,7,1,29,1,1,7,1,28,1,1,7,1111083500,3,4
30,2,1,16,1,2,0,30,2,27,1,1,7,1,30,1,1,7,2,28,1,1,7,1911083500,2,3
32,1,1,5,1,2,0,30,1,35,1,1,4,1,25,1,1,6,1,39,1,1,4,1911083500,2,3
45,2,1,6,1,3,1,5,2,50,1,1,7,2,45,1,2,4,2,36,1,1,5,1211084400,2,5
82,1,1,3,3,5,0,4,2,65,1,2,1,1,66,1,7,3,2,62,1,7,3,1111085400,1,1
39,2,1,16,1,1,2,5,2,37,1,1,7,2,47,1,1,7,2,36,1,1,6,1111086100,4,4
34,1,1,4,1,2,0,4,1,40,1,1,5,1,40,1,15,7,2,40,3,11,7,1111086500,1,1
42,2,1,4,1,4,0,6,2,38,1,1,7,2,40,1,1,7,2,41,1,2,5,1411087000,2,3
60,2,1,7,1,1,0,5,2,53,1,1,5,1,61,1,9,3,2,53,2,2,3,1111087300,2,3
72,1,2,4,3,1,0,5,1,67,1,2,6,2,50,1,1,5,2,60,1,6,3,1111087300,2,3
40,2,1,4,3,1,2,8,2,41,1,1,4,2,40,1,2,5,2,44,1,15,2,1111087500,4,4
45,1,3,5,1,1,4,5,1,48,1,1,4,1,46,3,1,4,1,43,3,1,4,1111087800,6,4
19,2,1,11,3,2,0,6,2,19,1,1,4,1,20,1,8,4,2,18,1,1,4,1111087800,6,4
16,2,1,4,3,2,0,10,2,15,1,1,4,2,16,1,8,4,2,14,1,8,4,1111087800,6,4
68,2,1,4,3,5,2,5,2,62,5,1,3,2,64,1,6,3,2,75,1,7,3,1111088100,2,2
47,1,1,8,1,1,2,5,1,47,1,1,7,1,40,1,1,7,1,48,1,1,7,1111088300,4,4
44,2,1,15,1,1,2,20,2,40,1,1,7,2,50,1,1,4,1,45,1,1,7,1111088400,4,4
46,1,1,14,1,1,2,12,1,50,1,1,6,2,47,1,1,7,2,48,1,15,5,1111088400,4,4
42,2,1,16,1,2,0,15,2,42,1,1,7,2,40,1,2,2,2,30,1,1,7,1511088700,1,1
45,2,2,3,1,4,1,5,2,40,1,1,5,2,35,1,1,7,1,47,1,1,4,1911088900,2,5
17,2,1,9,3,2,0,3,2,16,1,1,3,2,17,1,8,4,2,16,1,8,4,1911088900,2,5
41,1,1,14,1,2,0,3,1,35,1,2,7,1,41,1,1,5,2,52,2,1,4,1211089400,1,1
35,1,1,4,1,2,1,3,1,36,1,3,3,1,36,1,1,4,1,36,2,1,3,1511089900,3,4
32,2,1,5,3,2,1,6,2,28,1,2,4,2,32,1,1,7,2,27,2,1,4,1511089900,3,4
60,1,3,14,1,1,2,10,1,40,1,1,5,1,54,1,1,5,2,50,1,2,5,1111090100,5,4
16,1,1,4,3,2,0,10,1,17,1,2,4,1,15,1,8,4,2,15,1,8,4,1111090100,5,4
79,1,2,2,3,1,2,3,1,78,1,1,2,1,77,1,7,3,1,66,1,7,3,1111090200,2,3
53,2,1,15,1,2,2,4,2,47,1,1,7,2,48,1,1,7,2,54,1,1,7,1111090300,4,4
22,2,1,9,1,2,0,5,2,22,2,1,4,2,26,1,1,4,2,50,1,15,4,1111090400,4,4
55,1,1,8,1,1,2,7,1,54,1,1,6,1,53,1,1,7,1,54,1,1,6,1111090600,3,4
25,2,1,14,1,2,0,5,2,25,1,1,7,2,25,1,1,7,1,26,1,1,7,1111090600,3,4
58,2,1,5,1,1,2,15,2,50,1,1,4,2,52,1,1,4,2,29,1,1,7,1111091100,2,3
30,2,1,14,1,2,0,10,2,27,1,1,6,2,31,1,1,7,1,30,1,1,5,1911091100,2,3
48,2,1,7,1,1,2,5,2,48,1,1,5,2,48,1,1,7,1,52,3,1,7,1111091400,3,4
25,2,1,14,1,2,0,3,1,24,1,1,7,2,25,1,2,7,2,23,1,2,7,1111091400,3,4
66,2,1,4,3,4,1,3,2,78,1,1,2,2,71,1,7,3,2,64,2,7,3,1111091800,1,1
54,2,1,5,3,1,2,5,2,65,1,1,4,2,41,1,1,7,1,41,1,1,4,1111092200,2,3
30,2,1,15,1,1,1,10,2,29,1,1,7,2,32,1,2,7,2,43,1,1,6,1911092200,3,4
52,1,1,5,1,2,0,15,1,49,1,1,6,1,50,1,1,4,1,53,3,1,4,1111092300,1,1
42,2,3,5,2,2,0,5,2,30,1,1,7,2,35,1,1,7,1,38,1,1,6,1111092500,2,5
21,2,3,9,2,2,0,3,2,18,1,1,5,2,22,5,15,5,2,17,3,8,5,1111092900,5,4
47,2,1,4,2,1,1,3,2,60,1,1,4,1,52,1,15,5,2,39,1,1,7,1111093400,3,4
48,1,1,4,2,1,2,10,1,47,1,1,4,1,46,1,1,7,2,47,1,1,7,1111093700,4,4
47,2,3,4,1,1,2,5,2,52,1,1,6,2,46,1,15,6,2,46,1,1,6,1111093700,4,4
21,1,1,13,3,2,0,3,1,20,1,1,5,2,20,1,8,6,1,21,1,8,5,1111093700,4,4
18,1,1,9,3,2,0,7,1,17,1,1,3,1,18,1,8,3,1,16,1,8,3,1111093700,4,4
40,2,1,14,1,2,1,8,2,39,1,1,4,2,39,1,1,6,1,43,3,1,7,1211094500,2,5
19,2,1,13,3,2,0,3,2,18,1,1,5,2,21,5,8,4,2,18,1,8,4,1211094500,2,5
59,2,1,7,3,3,3,12,2,56,1,1,5,2,58,1,1,7,2,55,1,1,5,1111094800,2,5
20,2,1,13,3,2,0,8,2,20,1,1,5,2,20,1,8,6,2,20,1,8,5,1111094800,2,5
32,1,1,14,1,2,0,10,1,33,1,1,6,1,32,1,1,6,1,31,1,1,7,1411094800,2,3
55,2,1,15,1,1,2,7,2,54,1,1,7,2,55,1,1,7,2,50,1,1,7,1111094900,5,4
69,1,1,14,3,1,3,8,1,68,1,1,7,1,68,1,7,7,1,70,2,7,7,1111095400,2,3
50,1,1,15,1,2,3,6,1,46,1,1,5,1,42,1,1,6,2,42,1,1,6,1111095700,5,4
46,2,1,4,1,1,2,12,2,44,1,1,6,2,48,1,1,6,2,42,1,1,6,1111096400,4,4
43,1,1,6,1,1,2,3,1,44,1,1,6,1,44,1,1,7,1,44,1,1,6,1111096400,4,4
69,1,1,16,3,1,5,20,1,60,1,1,7,1,64,1,1,7,1,62,1,1,7,1111096800,2,3
36,2,1,14,1,1,2,3,2,35,1,1,5,2,36,1,2,5,2,37,1,1,7,1311096800,4,4
40,1,1,15,1,1,2,3,1,43,1,3,7,1,40,1,1,7,1,39,1,15,7,1311096800,4,4
28,2,1,15,1,2,0,8,2,28,1,1,7,1,29,1,1,7,1,30,1,1,7,1811096800,2,3
41,2,1,15,1,3,2,10,2,40,1,1,7,2,41,1,1,7,2,37,1,15,3,1111097200,3,5
55,2,1,15,1,4,2,5,2,54,1,1,5,2,48,1,1,7,2,60,1,1,7,1111097400,2,5
26,1,1,13,1,2,0,10,1,25,1,1,7,1,26,1,1,6,1,26,1,1,6,1111097400,2,5
69,1,1,15,3,1,2,3,1,66,1,1,7,1,63,1,7,6,1,69,1,7,4,1111097600,3,3
60,2,2,5,1,5,1,4,2,62,1,1,6,2,60,1,7,7,2,60,1,7,7,1111098100,1,1
58,2,1,15,1,1,2,10,2,59,1,1,4,2,57,1,6,4,2,58,1,1,6,1111098400,4,4
68,1,2,15,3,1,2,5,1,60,1,1,7,1,73,1,7,7,1,59,1,1,6,1111098400,4,4
35,1,1,14,1,2,0,5,1,36,1,1,4,1,34,1,1,7,1,36,3,1,7,1611098800,1,1
49,1,1,5,1,1,2,3,1,49,1,1,4,1,49,1,1,4,1,49,1,11,6,1111098900,4,4
21,2,1,13,1,2,0,20,1,21,1,1,6,1,19,1,1,3,2,21,1,15,6,1111098900,4,4
48,1,1,4,3,1,2,4,1,46,1,2,6,1,51,1,1,3,1,50,2,1,3,1111099200,4,4
48,2,2,6,2,1,2,10,2,47,1,2,7,2,47,1,1,4,2,46,1,2,6,1111099200,4,4
39,2,1,4,1,1,0,10,2,40,1,1,7,2,38,1,1,7,2,37,1,1,5,1111099600,2,3
42,1,1,6,1,1,0,10,1,40,1,1,6,1,42,1,1,7,1,45,2,1,7,1111099600,2,3
46,1,3,3,1,1,5,20,1,40,1,3,4,1,50,1,1,6,1,42,1,1,7,1111100000,6,4
34,2,3,4,1,1,5,10,2,46,1,3,2,2,50,1,1,7,2,30,3,1,6,1111100000,6,4
37,1,1,16,1,1,1,4,1,36,1,1,5,1,37,1,1,7,1,26,3,8,6,1411100600,3,4
35,2,1,16,1,1,1,3,2,34,1,1,7,2,34,1,1,7,2,37,1,1,7,1411100600,3,4
34,1,1,16,1,2,0,5,1,34,1,1,7,1,34,1,1,7,1,34,1,1,7,1711100600,2,3
29,2,1,16,1,2,0,6,2,33,1,1,7,2,34,1,1,7,1,35,1,1,7,1711100600,2,3
46,2,1,4,1,1,2,12,2,45,1,1,2,2,43,1,2,5,1,46,2,2,6,1111100900,4,4
35,1,1,6,1,2,0,3,1,32,1,1,6,1,35,1,1,4,1,36,1,1,4,1111101200,2,3
61,2,1,3,3,1,1,3,2,65,1,1,2,2,65,1,7,2,2,73,2,7,2,1111101300,2,3
63,1,1,3,1,1,1,6,1,64,1,1,3,1,57,1,1,4,1,45,3,1,3,1111101300,2,3
46,2,2,6,2,1,2,7,1,48,1,1,4,1,40,1,1,6,2,56,2,2,5,1111101400,4,4
46,1,1,5,1,1,2,8,1,40,1,3,4,2,50,1,1,4,1,40,1,1,7,1111101400,4,4
16,2,1,4,3,2,0,5,2,16,1,1,4,1,16,1,8,4,2,16,1,8,4,1111101400,4,4
56,2,2,7,1,2,0,5,2,52,1,2,7,2,60,1,1,3,2,48,1,1,7,1111101600,2,5
29,2,1,4,3,2,2,10,2,36,1,1,3,2,33,1,15,4,2,35,1,15,3,1311102100,3,5
71,2,1,3,3,1,2,6,2,68,3,1,4,2,65,1,7,7,2,67,1,7,6,1111103100,3,4
77,1,1,6,3,5,3,6,1,67,1,1,5,1,68,1,7,5,1,69,1,7,4,1111103200,2,3
69,2,1,5,3,5,2,3,2,43,4,1,4,2,66,1,7,4,2,66,1,7,5,1111103200,2,3
38,2,3,14,2,4,1,15,2,35,1,1,6,2,40,1,1,4,1,34,3,1,7,1111103400,1,1
48,1,1,5,1,1,2,3,1,45,1,1,3,1,45,1,1,3,1,45,1,1,3,1111103700,4,4
18,1,1,9,3,2,0,5,1,18,1,1,5,2,17,1,8,5,1,17,1,8,5,1111103700,4,4
41,2,1,4,1,1,2,10,2,37,1,1,3,2,40,1,1,6,1,50,1,1,7,1111103800,4,4
43,1,1,5,1,1,2,10,2,40,1,1,3,1,50,1,1,6,1,52,2,1,6,1111103800,4,4
56,1,1,5,1,1,1,4,1,51,1,1,4,2,47,1,1,4,2,36,1,1,6,1111104000,2,3
53,2,1,4,1,1,1,4,2,47,1,2,6,2,53,1,1,5,2,42,1,1,5,1111104000,2,3
31,2,1,15,1,1,2,5,2,31,1,1,6,2,30,1,1,7,2,30,1,1,7,1611104000,4,4
30,1,1,9,1,1,2,3,1,30,1,1,7,1,34,1,1,6,1,35,2,1,7,1611104000,4,4
60,2,1,6,3,1,3,8,2,53,1,1,4,2,54,1,6,6,2,55,1,6,5,1111104300,2,3
65,1,1,5,3,1,3,3,2,59,5,1,6,2,38,4,1,7,1,38,1,1,7,1111104300,2,3
37,1,1,6,1,2,2,6,1,39,3,1,6,2,40,3,1,6,1,38,1,1,4,1311104300,4,4
33,2,1,5,1,2,2,3,2,38,1,1,7,2,33,3,1,6,1,35,1,6,6,1311104300,4,4
62,2,1,5,3,1,3,15,2,62,1,1,4,2,62,1,7,4,2,62,1,7,4,1111105200,2,3
76,2,1,4,3,1,3,4,2,66,1,2,3,1,82,1,7,6,2,79,1,11,3,1111105900,2,3
55,1,1,8,1,1,2,4,1,54,1,1,4,1,54,1,1,4,1,53,1,1,5,1111106400,3,4
52,2,2,6,1,1,2,6,2,51,1,1,4,2,50,1,1,5,2,53,1,1,7,1111106400,3,4
53,2,1,5,1,1,2,4,2,53,1,2,4,1,53,1,1,4,1,46,1,1,6,1111106500,3,4
30,2,1,14,1,2,0,4,2,30,1,1,7,2,29,1,15,7,2,31,1,1,7,1911106500,2,3
54,1,1,7,1,1,2,4,1,55,1,2,7,1,51,1,1,6,1,55,1,15,4,1111107800,3,4
53,2,2,4,2,1,2,4,2,54,1,1,7,1,56,1,1,7,2,52,2,15,6,1111107800,3,4
50,1,2,4,1,1,2,6,1,54,1,3,4,1,38,1,1,5,1,32,1,1,7,1111107900,3,4
22,1,1,9,2,2,0,7,1,21,1,1,5,1,21,1,8,6,1,23,1,15,4,1111107900,3,4
29,2,1,16,1,2,0,5,2,29,1,3,7,2,34,5,1,7,2,28,1,1,7,2011107900,1,1
50,2,1,14,1,1,2,5,2,50,1,1,7,2,48,1,1,6,2,51,1,1,5,1111108000,4,4
21,1,1,13,1,2,0,6,1,21,1,1,7,1,21,1,8,7,1,21,1,8,5,1111108000,4,4
60,2,1,4,1,1,1,15,2,38,1,2,5,2,63,1,1,6,2,58,1,9,5,1111108400,2,3
51,2,1,5,2,1,2,5,2,47,1,1,4,2,46,1,1,4,2,45,1,1,4,1111109300,4,4
24,2,1,14,3,2,0,7,2,23,1,1,4,2,24,1,1,7,1,27,1,1,4,1111109300,4,4
17,1,1,9,3,2,0,4,1,16,1,1,4,1,17,1,8,3,1,17,1,8,4,1111109300,4,4
36,2,1,15,1,1,0,4,1,36,1,1,7,2,38,1,1,4,2,35,3,2,7,1511109900,2,3
17,2,1,9,3,2,0,5,1,17,1,1,3,1,17,1,8,3,2,16,1,8,3,2011110600,3,5
