Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_HOMES
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,179,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,397,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,161,3
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,72,4
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,71,5
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,117,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,224,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,116,3
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,43,4
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,36,5
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,238,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,493,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,200,3
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,100,4
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,64,5
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,246,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,435,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,164,3
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,57,4
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,21,5
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,292,1
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,450,2
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,130,3
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,59,4
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,29,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,177,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,304,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,88,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,36,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,14,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,253,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,431,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,145,3
