Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_DONES
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,203,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,354,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,170,3
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,96,4
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,57,5
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,117,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,240,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,99,3
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,43,4
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,37,5
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,286,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,482,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,210,3
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,79,4
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,38,5
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,215,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,450,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,151,3
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,65,4
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,42,5
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,254,1
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,461,2
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,185,3
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,32,4
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,28,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,148,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,317,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,103,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,33,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,18,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,230,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,442,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,157,3
