Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_65_99
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,116,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,43,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,2,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,688,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,172,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,49,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,2,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,487,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,101,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,21,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,2,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,505,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,115,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,39,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,481,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,125,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,35,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,1,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,679,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,137,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,36,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,489,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,84,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,17,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,2,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,1,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,752,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,193,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,58,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,6,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,524,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,115,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,30,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,661,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,172,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,55,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,409,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,83,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,32,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,375,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,99,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,17,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,456,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,99,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,26,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,2,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,2,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,318,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,139,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,39,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,1,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,1,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,387,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,140,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,56,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,1,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,585,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,102,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,35,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,2,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,423,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,123,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,41,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,1,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,378,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,127,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,34,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,658,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,88,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,29,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,434,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,239,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,75,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,1,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,2,5
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,593,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,110,2
