Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_HOMES
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,192,3
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,77,4
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,60,5
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,247,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,441,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,153,3
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,52,4
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,37,5
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,287,1
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,455,2
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,151,3
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,48,4
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,32,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,191,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,305,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,88,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,27,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,16,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,273,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,419,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,158,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,43,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,18,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,180,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,285,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,91,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,34,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,21,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,177,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,324,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,107,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,31,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,22,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,192,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,289,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,110,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,34,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,17,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,240,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,413,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,132,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,44,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,24,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,161,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,291,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,90,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,27,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,24,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,232,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,480,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,190,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,62,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,46,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,164,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,327,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,113,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,36,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,30,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,270,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,452,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,119,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,29,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,18,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,145,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,268,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,80,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,19,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,13,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,150,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,246,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,63,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,26,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,6,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,182,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,297,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,72,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,23,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,11,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,130,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,247,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,87,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,23,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,11,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,160,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,295,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,94,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,24,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,11,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,221,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,365,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,95,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,29,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,14,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,151,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,294,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,100,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,31,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,12,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,156,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,284,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,68,3
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,20,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,11,5
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,257,1
