Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_18_64
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,83,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,197,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,136,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,46,4
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,55,5
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,78,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,164,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,143,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,50,4
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,61,5
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,158,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,335,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,265,3
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,145,4
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,161,5
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,131,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,407,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,324,3
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,126,4
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,138,5
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,134,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,391,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,259,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,82,4
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,94,5
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,84,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,216,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,188,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,51,4
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,77,5
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,58,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,240,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,203,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,81,4
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,101,5
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,173,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,272,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,322,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,123,4
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,150,5
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,116,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,296,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,236,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,81,4
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,97,5
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,62,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,294,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,262,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,92,4
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,113,5
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,105,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,413,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,333,3
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,136,4
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,151,5
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,91,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,262,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,217,3
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,89,4
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,85,5
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,87,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,134,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,151,3
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,58,4
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,76,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,83,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,171,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,178,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,76,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,91,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,107,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,269,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,268,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,94,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,118,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,75,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,238,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,214,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,93,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,120,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,81,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,282,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,254,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,122,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,140,5
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,85,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,163,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,140,3
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,79,4
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,73,5
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,115,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,398,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,315,3
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,131,4
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,113,5
