﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Districte;Població;Cens;Participació 13:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids
8;Barcelona;1;Barcelona;40;Vallès Occidental;08187;Sabadell;7;;5991;1109;2004;2231;3760;26;26;2179;2205
8;Barcelona;2;Catalunya Central;14;Berguedà;08188;Sagàs;1;;117;47;78;89;28;1;2;86;88
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25190;Salàs de Pallars;1;;265;89;140;173;92;4;0;169;169
8;Barcelona;2;Catalunya Central;14;Berguedà;08190;Saldes;1;;260;107;159;178;82;6;2;170;172
17;Girona;3;Girona;19;Garrotxa;17154;Sales de Llierca;1;;107;35;54;68;39;2;1;65;66
8;Barcelona;2;Catalunya Central;7;Bages;08191;Sallent;1;;4818;1199;2229;2634;2184;22;38;2574;2612
8;Barcelona;2;Catalunya Central;7;Bages;08191;Sallent;2;;427;130;244;264;163;4;5;255;260
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43135;Salomó;1;;333;104;195;224;109;3;3;218;221
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43905;Salou;1;;15413;2747;5939;7077;8336;107;63;6907;6970
17;Girona;3;Girona;20;Gironès;17155;Salt;1;;8202;2002;3454;3840;4362;51;29;3760;3789
17;Girona;3;Girona;20;Gironès;17155;Salt;2;;6865;1443;2744;3145;3720;51;28;3066;3094
25;Lleida;4;Lleida;32;Segarra;25191;Sanaüja;1;;335;71;168;198;137;11;3;184;187
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43138;Santa Bàrbara;1;;1397;310;496;644;753;25;5;614;619
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43138;Santa Bàrbara;2;;1247;221;403;529;718;23;6;500;506
8;Barcelona;2;Catalunya Central;24;Osona;08243;Santa Cecília de Voltregà;1;;152;39;100;109;43;3;2;104;106
8;Barcelona;1;Barcelona;11;Baix Llobregat;08244;Santa Coloma de Cervelló;1;;6207;1672;3157;3789;2418;56;37;3696;3733
17;Girona;3;Girona;34;Selva;17180;Santa Coloma de Farners;1;;8588;1948;3773;4510;4078;75;43;4392;4435
8;Barcelona;1;Barcelona;13;Barcelonès;08245;Santa Coloma de Gramenet;1;;15069;2725;6305;7312;7757;99;43;7170;7213
8;Barcelona;1;Barcelona;13;Barcelonès;08245;Santa Coloma de Gramenet;2;;10367;2239;4251;4762;5605;72;43;4647;4690
8;Barcelona;1;Barcelona;13;Barcelonès;08245;Santa Coloma de Gramenet;3;;14235;2906;5743;6486;7749;79;64;6343;6407
8;Barcelona;1;Barcelona;13;Barcelonès;08245;Santa Coloma de Gramenet;4;;15848;3016;6426;7510;8338;114;59;7337;7396
8;Barcelona;1;Barcelona;13;Barcelonès;08245;Santa Coloma de Gramenet;5;;13627;2418;4601;5188;8439;78;34;5076;5110
