﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Població;Cens;Participació 13:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids
43;Tarragona;6;Camp de Tarragona;29;Priorat;43154;Torroja del Priorat;152;121;48;86;99;22;1;1;97;98
17;Girona;3;Girona;19;Garrotxa;17200;Tortellà;818;635;198;362;416;219;7;6;403;409
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43155;Tortosa;33439;22578;5437;9396;11041;11537;230;110;10701;10811
17;Girona;3;Girona;31;Ripollès;17201;Toses;168;146;35;63;98;48;1;2;95;97
17;Girona;3;Girona;34;Selva;17202;Tossa de Mar;5818;3923;872;1721;2079;1844;48;17;2014;2031
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25234;Tremp;5911;4187;887;1631;2256;1931;50;28;2178;2206
17;Girona;3;Girona;10;Baix Empordà;17204;Ullà;1177;624;200;331;370;254;6;4;360;364
8;Barcelona;1;Barcelona;40;Vallès Occidental;08290;Ullastrell;2089;1567;417;878;991;576;10;6;975;981
17;Girona;3;Girona;10;Baix Empordà;17205;Ullastret;274;194;76;121;142;52;1;0;141;141
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43156;Ulldecona;6525;3993;805;1387;1994;1999;36;21;1937;1958
43;Tarragona;6;Camp de Tarragona;29;Priorat;43157;Ulldemolins;398;349;164;241;270;79;4;3;263;266
17;Girona;3;Girona;10;Baix Empordà;17203;Ultramort;225;162;60;94;105;57;2;2;101;103
17;Girona;5;Alt Pirineu i territori d'Aran;15;Cerdanya;17206;Urús;196;175;43;98;122;53;5;1;116;117
8;Barcelona;1;Barcelona;40;Vallès Occidental;08291;Vacarisses;6832;5240;746;2109;2539;2701;26;20;2493;2513
17;Girona;3;Girona;2;Alt Empordà;17014;Vajol, la;89;62;20;36;40;22;0;0;40;40
8;Barcelona;8;Penedès;6;Anoia;08292;Vallbona d'Anoia;1357;1062;286;557;648;414;12;5;631;636
25;Lleida;4;Lleida;38;Urgell;25238;Vallbona de les Monges;243;212;80;122;141;71;7;1;133;134
8;Barcelona;2;Catalunya Central;14;Berguedà;08293;Vallcebre;249;237;73;128;165;72;3;1;161;162
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43158;Vallclara;88;74;28;45;56;18;6;0;50;50
17;Girona;3;Girona;19;Garrotxa;17207;Vall d'en Bas, la;3093;2444;801;1479;1668;776;22;32;1614;1646
17;Girona;3;Girona;19;Garrotxa;17208;Vall de Bianya, la;1275;1013;279;510;586;427;9;14;563;577
25;Lleida;5;Alt Pirineu i territori d'Aran;5;Alta Ribagorça;25043;Vall de Boí, la;1019;819;210;352;498;321;15;3;480;483
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25901;Vall de Cardós;350;303;63;143;213;90;9;0;204;204
