﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Sigles Candidatura;Nom Candidatura;Vots
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;JxCat;Junts per Catalunya;755
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;ERC;Esquerra Republicana de Catalunya;602
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);203
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;97
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;VOX;Vox;92
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;PDeCAT;Partit Demòcrata Europeu Català;51
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;PP;Partit Popular;47
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;Cs;Ciutadans-Partido de la Ciudadanía;44
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;ECP-PEC;En Comú Podem-Podem en Comú;43
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;EB;Escons en Blanc;32
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;PUM+J;Per Un Món Més Just;3
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;PNC;Partit Nacionalista de Catalunya;2
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;PCTC;Partit Comunista dels Treballadors de Catalunya;2
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;FNC;Front Nacional de Catalunya;2
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;2
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;MPIC;Moviment Primàries per la Independència de Catalunya;1
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;IZQP;Izquierda en Positivo;0
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;SCAT;Suport Civil Català;0
