﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Sigles Candidatura;Nom Candidatura;Vots
17;Girona;3;Girona;28;Pla de l'Estany;17071;Fontcoberta;IZQP;Izquierda en Positivo;0
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;JxCat;Junts per Catalunya;210
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;ERC;Esquerra Republicana de Catalunya;170
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;PDeCAT;Partit Demòcrata Europeu Català;76
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;66
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);55
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;VOX;Vox;21
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;ECP-PEC;En Comú Podem-Podem en Comú;18
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;Cs;Ciutadans-Partido de la Ciudadanía;9
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;PP;Partit Popular;6
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;MPIC;Moviment Primàries per la Independència de Catalunya;2
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;1
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;PNC;Partit Nacionalista de Catalunya;1
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;PCTC;Partit Comunista dels Treballadors de Catalunya;0
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;IZQP;Izquierda en Positivo;0
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;FNC;Front Nacional de Catalunya;0
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;JxCat;Junts per Catalunya;41
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;ERC;Esquerra Republicana de Catalunya;16
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;12
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);6
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;PP;Partit Popular;5
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;PDeCAT;Partit Demòcrata Europeu Català;2
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;Cs;Ciutadans-Partido de la Ciudadanía;1
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;VOX;Vox;1
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;IZQP;Izquierda en Positivo;0
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;MPIC;Moviment Primàries per la Independència de Catalunya;0
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;SCAT;Suport Civil Català;0
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;PCTC;Partit Comunista dels Treballadors de Catalunya;0
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;PNC;Partit Nacionalista de Catalunya;0
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;EB;Escons en Blanc;0
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;ECP-PEC;En Comú Podem-Podem en Comú;0
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;FNC;Front Nacional de Catalunya;0
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;PUM+J;Per Un Món Més Just;0
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;JxCat;Junts per Catalunya;346
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;ERC;Esquerra Republicana de Catalunya;181
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);90
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;83
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;PDeCAT;Partit Demòcrata Europeu Català;51
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;VOX;Vox;28
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;Cs;Ciutadans-Partido de la Ciudadanía;23
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;ECP-PEC;En Comú Podem-Podem en Comú;21
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;PP;Partit Popular;11
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;4
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;FNC;Front Nacional de Catalunya;2
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;UEP;Unión Europea de Pensionistas;1
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;PNC;Partit Nacionalista de Catalunya;1
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;MPIC;Moviment Primàries per la Independència de Catalunya;1
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;PUM+J;Per Un Món Més Just;1
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;ALIANZA C V;Alianza por el Comercio y la Vivienda;0
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;IZQP;Izquierda en Positivo;0
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;PCTC;Partit Comunista dels Treballadors de Catalunya;0
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;PDeCAT;Partit Demòcrata Europeu Català;10
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;JxCat;Junts per Catalunya;8
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;VOX;Vox;2
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;ERC;Esquerra Republicana de Catalunya;1
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;Cs;Ciutadans-Partido de la Ciudadanía;1
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);1
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;PCTC;Partit Comunista dels Treballadors de Catalunya;1
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;FNC;Front Nacional de Catalunya;1
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;PUM+J;Per Un Món Més Just;0
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;PNC;Partit Nacionalista de Catalunya;0
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;0
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;M.C.R.;Moviment Corrent Roig;0
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;UNIDOS SI-DEf-PDSJE-SOMOS ESPAÑA;Unidos por la Democracia + Jubilados;0
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;MPIC;Moviment Primàries per la Independència de Catalunya;0
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;ECP-PEC;En Comú Podem-Podem en Comú;0
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;SOM TERRES DE L'EBRE;Som Terres de l'Ebre;0
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;PP;Partit Popular;0
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;JxCat;Junts per Catalunya;627
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;ERC;Esquerra Republicana de Catalunya;269
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;150
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);133
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;PDeCAT;Partit Demòcrata Europeu Català;65
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;VOX;Vox;46
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;PP;Partit Popular;39
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;ECP-PEC;En Comú Podem-Podem en Comú;35
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;Cs;Ciutadans-Partido de la Ciudadanía;30
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;PNC;Partit Nacionalista de Catalunya;12
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;FNC;Front Nacional de Catalunya;7
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;MPIC;Moviment Primàries per la Independència de Catalunya;6
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;4
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;UEP;Unión Europea de Pensionistas;3
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;PUM+J;Per Un Món Més Just;2
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;ALIANZA C V;Alianza por el Comercio y la Vivienda;0
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;PCTC;Partit Comunista dels Treballadors de Catalunya;0
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;IZQP;Izquierda en Positivo;0
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;JxCat;Junts per Catalunya;95
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;ERC;Esquerra Republicana de Catalunya;83
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);49
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;40
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;VOX;Vox;23
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;PDeCAT;Partit Demòcrata Europeu Català;15
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;ECP-PEC;En Comú Podem-Podem en Comú;13
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;Cs;Ciutadans-Partido de la Ciudadanía;10
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;PP;Partit Popular;8
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;PCTC;Partit Comunista dels Treballadors de Catalunya;2
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;PNC;Partit Nacionalista de Catalunya;2
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;MPIC;Moviment Primàries per la Independència de Catalunya;1
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;FNC;Front Nacional de Catalunya;1
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;ALIANZA C V;Alianza por el Comercio y la Vivienda;0
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;PUM+J;Per Un Món Més Just;0
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;UEP;Unión Europea de Pensionistas;0
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;IZQP;Izquierda en Positivo;0
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);1718
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;ERC;Esquerra Republicana de Catalunya;1586
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;JxCat;Junts per Catalunya;1257
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;VOX;Vox;631
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;Cs;Ciutadans-Partido de la Ciudadanía;491
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;ECP-PEC;En Comú Podem-Podem en Comú;410
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;387
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;PP;Partit Popular;157
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;PDeCAT;Partit Demòcrata Europeu Català;124
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;38
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;MPIC;Moviment Primàries per la Independència de Catalunya;19
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;PNC;Partit Nacionalista de Catalunya;13
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;FNC;Front Nacional de Catalunya;11
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;PCTC;Partit Comunista dels Treballadors de Catalunya;11
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;IZQP;Izquierda en Positivo;3
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;JxCat;Junts per Catalunya;41
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);34
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;ERC;Esquerra Republicana de Catalunya;33
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;PP;Partit Popular;13
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;11
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;ECP-PEC;En Comú Podem-Podem en Comú;11
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;VOX;Vox;10
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;Cs;Ciutadans-Partido de la Ciudadanía;7
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;SOM TERRES DE L'EBRE;Som Terres de l'Ebre;7
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;PDeCAT;Partit Demòcrata Europeu Català;4
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;PCTC;Partit Comunista dels Treballadors de Catalunya;1
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;PUM+J;Per Un Món Més Just;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;PNC;Partit Nacionalista de Catalunya;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;MPIC;Moviment Primàries per la Independència de Catalunya;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;M.C.R.;Moviment Corrent Roig;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;FNC;Front Nacional de Catalunya;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;UNIDOS SI-DEf-PDSJE-SOMOS ESPAÑA;Unidos por la Democracia + Jubilados;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;JxCat;Junts per Catalunya;176
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;ERC;Esquerra Republicana de Catalunya;157
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);42
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;38
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;PP;Partit Popular;13
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;PDeCAT;Partit Demòcrata Europeu Català;13
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;VOX;Vox;9
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;Cs;Ciutadans-Partido de la Ciudadanía;5
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;PNC;Partit Nacionalista de Catalunya;3
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;ECP-PEC;En Comú Podem-Podem en Comú;2
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;MPIC;Moviment Primàries per la Independència de Catalunya;1
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;PUM+J;Per Un Món Més Just;1
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;PCTC;Partit Comunista dels Treballadors de Catalunya;0
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;IZQP;Izquierda en Positivo;0
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;SCAT;Suport Civil Català;0
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;EB;Escons en Blanc;0
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;FNC;Front Nacional de Catalunya;0
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;ERC;Esquerra Republicana de Catalunya;33
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;JxCat;Junts per Catalunya;8
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);4
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;Cs;Ciutadans-Partido de la Ciudadanía;3
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;3
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;PP;Partit Popular;3
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;VOX;Vox;1
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;PNC;Partit Nacionalista de Catalunya;0
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;SCAT;Suport Civil Català;0
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;MPIC;Moviment Primàries per la Independència de Catalunya;0
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;FNC;Front Nacional de Catalunya;0
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;PUM+J;Per Un Món Més Just;0
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;PCTC;Partit Comunista dels Treballadors de Catalunya;0
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;PDeCAT;Partit Demòcrata Europeu Català;0
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;EB;Escons en Blanc;0
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;IZQP;Izquierda en Positivo;0
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;ECP-PEC;En Comú Podem-Podem en Comú;0
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;JxCat;Junts per Catalunya;40
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;ERC;Esquerra Republicana de Catalunya;32
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;PDeCAT;Partit Demòcrata Europeu Català;10
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;7
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);5
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;ECP-PEC;En Comú Podem-Podem en Comú;4
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;IZQP;Izquierda en Positivo;0
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;MPIC;Moviment Primàries per la Independència de Catalunya;0
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;VOX;Vox;0
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;PNC;Partit Nacionalista de Catalunya;0
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;Cs;Ciutadans-Partido de la Ciudadanía;0
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;FNC;Front Nacional de Catalunya;0
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;PP;Partit Popular;0
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;PCTC;Partit Comunista dels Treballadors de Catalunya;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;ERC;Esquerra Republicana de Catalunya;67
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);44
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;VOX;Vox;33
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;PDeCAT;Partit Demòcrata Europeu Català;30
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;JxCat;Junts per Catalunya;29
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;22
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;ECP-PEC;En Comú Podem-Podem en Comú;14
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;PP;Partit Popular;11
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;SOM TERRES DE L'EBRE;Som Terres de l'Ebre;6
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;MPIC;Moviment Primàries per la Independència de Catalunya;2
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;Cs;Ciutadans-Partido de la Ciudadanía;1
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;UNIDOS SI-DEf-PDSJE-SOMOS ESPAÑA;Unidos por la Democracia + Jubilados;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;PUM+J;Per Un Món Més Just;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;FNC;Front Nacional de Catalunya;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;M.C.R.;Moviment Corrent Roig;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;PNC;Partit Nacionalista de Catalunya;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;PCTC;Partit Comunista dels Treballadors de Catalunya;0
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;JxCat;Junts per Catalunya;49
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;ERC;Esquerra Republicana de Catalunya;18
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;PDeCAT;Partit Demòcrata Europeu Català;11
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);10
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;10
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;ECP-PEC;En Comú Podem-Podem en Comú;9
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;Cs;Ciutadans-Partido de la Ciudadanía;3
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;VOX;Vox;2
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;FNC;Front Nacional de Catalunya;2
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;PP;Partit Popular;2
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;MPIC;Moviment Primàries per la Independència de Catalunya;1
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;IZQP;Izquierda en Positivo;0
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;PCTC;Partit Comunista dels Treballadors de Catalunya;0
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;PNC;Partit Nacionalista de Catalunya;0
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;ERC;Esquerra Republicana de Catalunya;370
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;JxCat;Junts per Catalunya;263
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;PDeCAT;Partit Demòcrata Europeu Català;173
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);117
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;99
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;PP;Partit Popular;54
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;VOX;Vox;46
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;ECP-PEC;En Comú Podem-Podem en Comú;39
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;Cs;Ciutadans-Partido de la Ciudadanía;24
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;SOM TERRES DE L'EBRE;Som Terres de l'Ebre;10
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;FNC;Front Nacional de Catalunya;3
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;UNIDOS SI-DEf-PDSJE-SOMOS ESPAÑA;Unidos por la Democracia + Jubilados;3
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;PNC;Partit Nacionalista de Catalunya;1
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;1
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;MPIC;Moviment Primàries per la Independència de Catalunya;1
